"","Title","Notes","positive","negative","score","topic"
"1","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration","While Learning Analytics and Educational Data Mining have evolved and formed into two separate communities of research, they have some similarities and should work together more often. Promotes shared communication and collaboration. Both EDM and LAK want to improve education analysis and data. They are becoming more important in data-driven decision making. Table 1 (p.2)highlights key differences between the fields. LAK: systems; more focused on empowering teachers/learners EDM: reducing components/individual relationships; focused on automated adaptation Healthy competition helps fuel the fields but they have to communicate to provide the greatest educational benefits.",3,0,3,2
"2","Infovis and Statistical Graphics: Different Goals, Different Looks (with discussion)","distinction between exploratory and presentation graphs writing about static presentation graphs Purpose of graphic display (p7) 1. Graphics are for the qualitative/descriptive—conceivably the semiquantitative—never for the carefully quantitative (tables do that better).2. Graphics are for comparison—comparison of one kind or another—not for access to individual amounts.3. Graphics are for impact—interocular impact if possible, swinging-finger impact if that is the best one can do, or impact for the unexpected as a minimum—but almost never for something that has to be worked at hard to be perceived.4. Finally, graphics should report the results of careful data analysis—rather than be an attempt to replace it. (Exploration—to guide data analysis—can make essential interim use of graphics, but unless we are describing the exploration process rather than its results, the final graphic should build on the data analysis rather than the reverse.) discovery goals v communication goals making graphics attractive can motivate people to understand them help with recall of information statistical data visualization: focused on facilitating understanding of patterns infographcis: attractive, tell a story, encourage viewer to look/think about the data best visualization projects: wordle, decision tree (obama-clinton divide), radiohead video(uses graphics technology but is not a data visualization), box office streamgraphs not very useful graphics: florence nightingale's celebrated circualr plot of crimean war mortality shows different goals of statistical graphics which in modern day would use time-series plots and information visualization which attracts people who wouldn't likely be interested otherwise  solution is to do both, draw people in and give precise plots that describe data well  example baby name wizard graphs: ""Less constraint -&gt; more diffuse distribution of names -&gt; more concentrated distribution of lastletters. And we gained this bit of social science insight from a powerful combination of high-tech interactive visualization, exploratory data analysis, and static statistical graphics to crisply summarize the result."" (p36)",9,6,3,2
"3","Data wranglers: human interpreters to help close the feedback loop","LA seen as a feedback loop...but how do we close the loop of actionable intelligence and learning data? Need to pair actionable intelligence with intelligent action. Learning is a complex social activity that requires sense-making in order to take action Need to support LA by establishing a contextual framework and increasing a culture of data use -&gt; creating community of practice Data wranglers - goal to engage in sense-making and create actionable intelligence; theory-&gt;practice -how data can be improved (double-loop learning) -act as human sense-makers -facilitate action -develop community of practice Large-scale student bodies and data sets can create gaps in systems between knowledge and practice While all data DW use is available, their purpose is to go beyond analytics to increase familiarity and capacity Found examples of good practice in online learning: -students focus on assessed activities but are likely to ignore optional ones -many students enjoy learning though reading print but fewer like text online (audio and video are about as popular as print), but these balances can be changed with certain types of activities anecdotal evidence of success increasing data use among faculty issue of data quality/organization ",9,1,8,1
"4","Saturday Morning Breakfast Cereal","Comic: starts w/ 90% of elite engineers were observed disassembling and reassembling clocks as children -- through panicked policy change about failure to teach clocks -- progresses to kids being 'over clocked' -- everything is 'clock' now ",1,1,0,2
"5","Translating Learning into Numbers: A Generic Framework for Learning Analytics","There has been an explosion of available data, much of which is promising in its use in education Hopes to reduce delivery costs, improve learning effectiveness, accelerate development, etc.  Data mining is more economical than past collection strategies which makes is more common, reflects real user behavior proliferation of interactive learning platforms etc. produces significant quantities of tracking data questions of data ownership and openness, compatibility of education data sets&; 6 critical dimensions of LA 1. internal limitations -competences and acceptance 2. external constrains -conventions and norms, laws/policies/standards -ethical policies of the field, legal protections of individual data, institutional constraints&; 3. stakeholders -data clients and data subjects; requires hierarchical data flow 4. objectives -reflection and prediction 5. data -challenge of public availability of data -problem with the common assumption that data sets consist of only meaningful, context-free data 6. instruments -utilize different techs to retrieve information -includes conceptual instruments all 6 elements critical to have a fully formulated LA framework technologies are not pedagologically neutral so evaluation will be influenced by analytical approach chosen  &;",4,5,-1,1
"6","Chapter 12: Learning Analytics Dashboards","Types of dashboards 1. support traditional face-to-face lectures, allow teacher to engage students during lecture 2. support face-to-face group work such as visualizing for individual learners and groups of students 3. support online or blended learning What can be incorporated into dashboards: 1. artifacts produced by learners 2. social interaction 3. resources use (documents, videos, etc.) 4. time spent 5. test and self-assessment Goal to support awareness about learning process and foster discussion. can include color cues and diagrams. Need to understand why, for whom, what, and how before you start working with your data set to create a dashboard. Choose a representation that best answers the questions that people are going to want answered. Think of what students, teachers, or other audiences might want to know/ask. Make sure to document your rationale and decision-making process throughout to show alternative and evolution of your design. Interaction techniques are useful in visual analytics. Make sure to evaluate continuously to reference your goals and your audience and make sure your dashboard is accomplishing what it needs to through the most appropriate techniques.",9,0,9,2
"7","Zotero Quick Start Guide","Welcome to Zotero!View the Quick Start Guide to learn how to begin collecting, managing, citing, and sharing your research sources.Thanks for installing Zotero.",0,0,0,1
"8","Analyzing the Longitudinal K-12 Grading Histories of Entire Cohorts of Students: Grades, Data Driven Decision Making, Dropping out and Hierarchical Cluster Analysis","research has not paid enough attention to teacher assigned grades and has relied on standardized test scores An emerging line of research has begun to ask whyteacher-assigned grades are predictive of overall studentoutcomes, but are a weak indicator of academicknowledge when compared to standardized test scores (2) The broader data mining literature provides a wayto bring order and a means to analyze all of the datawithout aggregating the data, displaying each individual’sinformation patterned and displayed in a way that allowsfor interpretation of large longitudinal datasets (3)  Hierarchical cluster analysis - cluster trees or dendograms - provides a way of organizing cases based on how similar the values for the list ofvariables are for each case (5) Thus, when complete, cases that were previouslyorganized just as a pseudo-random descriptive list,organized alphabetically or by student numbers, wereplaced nearby other cases in the list with which they had a high similarity, aiding in visualization and identificationof empirically defined patterns previously unknownwithin the dataset. This does not change the data foreach case, but merely reorders the cases into clustersbased on the similarity of each case’s data vector (5-6)",1,1,0,3
"9","k-Means Clustering","k-means clustering algorithm classifies n points into k clusters through these steps: 1. assigns each point to the cluster whose average value on a set of p variables is nearest to it by some distance measure (usually Euclidean) on that set. 2. computes these assignments iteratively, until reassigning points and recomputing averages (over all points in a cluster) produces no changes. creates 2D cutting planes that separate clusters  need to design the algorithm properly because it can give you clusters even when they don't exist in the data, can be manipulated to give patterns that we want to see ",1,0,1,1
"10","RStudio Cheat Sheets","Data Wrangling &; tidyr::gather()Specify:• dataframe• key: the variable that the reshape will be based on• value: new variable names that will generated for new dataframe• gather_cols: the variables that are reshaped toaccommodate the new structure example from swirl  res&lt;- gather(students2, sex_class, count, -grade) gathers sex_class and count but not grade from data students2 gather(data, key = ""key"", value = ""value"", ..., na.rm = FALSE, convert = FALSE, factor_key = FALSE) &; tidyr::spread()Specify:• dataframe• key: the variable that the reshape will be based on• value: column whose values will populate the cells spread(data, key, value, fill = NA, convert = FALSE, drop = TRUE, sep = NULL); R Markdown &; ```{}put code in here. ``` R markdown doesn't let you do shortcuts to run so you have to highlight and click run selected or click the run button",0,4,-4,1
"11","Chapter 1: Social Network Data","first major emphasis of network analysis: seeing how actors are located or ""embedded"" in the overall network second major emphasis of network analysis: seeing how the wholepattern of individual choices gives rise to more holistic patterns Rather than thinking about how an actor's ties with other actors describes the attributes of ""ego,"" network analysts instead see a structure of connections, within which the actor is embedded. Actors are described by their relations, not by their attributes. (2) Nodes/Actors - not sampled independently because it is their relationships that are important to the analysis SNA rarely uses samples from data but instead conducts census actors cannot be selected independently - must also select actors they are tied to boundaries are a priori/naturally occuring or imposed in aggregates by the investigator think of individuals as embedded in hierarchical or nested designs The ability of network methods to map such multi-modal relations is, at least potentially, a step forward in rigor (5) sampling ties: full network methods (complete picture of relations in a pop), snowball (focal actor or set of actors and ties spread from there), ego-centric (selection of focal nodes and connectors, good for large populations) multiple relations If we do not know what relations to examine, how might we decide? material and informational. Material things are ""conserved"" in the sense that they can only be located at one node of the network at a time. Movements of people between organizations, money between people, automobiles between cities, and the like are all examples of material things which move between nodes -- and hence establish a network of material relations. Informational things, to the systems theorist, are ""non-conserved"" in the sense that they can be inmore than one place at the same time. (8) scales of measurement  binary measures of relations multiple category nominal measures of relations grouped ordinal measures of relations full rank ordinal measures of relations interval measures of relations",2,0,2,4
